image_id,user_id,
4721074710,49503096783@N01,
3082529862,8865243@N02,
3938649460,40279823@N00,
2737552595,88607481@N00,
8350413255,51326855@N04,
793549635,12836528@N00,
3208620140,25186605@N04,
4729053095,23889619@N04,
5008900979,47823583@N03,
3974152378,49968232@N00,
8349025914,40143737@N02,
3333604911,9161595@N03,
7697121060,61033838@N04,
2682398578,88607481@N00,
12247723834,95012188@N02,
1752067285,95572727@N00,
8350811947,54563451@N08,
12445516145,54563451@N08,
9158097675,48973657@N00,
171904871,21222992@N00,
5763781372,58871905@N03,
8516292525,31318464@N02,
12607078674,40143737@N02,
5048435873,10559879@N00,
207697884,62223880@N00,
5916594053,51711390@N08,
6288268129,67575879@N03,
558698530,7539598@N04,
6473869581,28650594@N03,
9733512789,62077007@N02,
10941857356,12839626@N04,
3501886602,35703177@N00,
4850657214,50946274@N02,
3177417118,97544179@N00,
7284445318,41942551@N02,
4730336660,32642690@N08,
3728980537,7363465@N08,
3470886791,7629803@N05,
2631812503,87857621@N00,
3679821477,7320299@N08,
9425913150,15119648@N04,
5079285707,27594459@N04,
2682423576,15119648@N04,
11381571816,87284921@N00,
7362625528,28752865@N08,
10008608526,29069717@N02,
3053817515,37882873@N00,
3388732799,8769727@N02,
5489145705,51711390@N08,
384349382,75224769@N00,
9501731785,11248435@N04,
2602703212,40418474@N00,
12149653033,65596645@N03,
432185570,25873089@N00,
4504661442,31246066@N04,
2852375930,23091738@N00,
3796899870,22989389@N05,
8090542902,62077007@N02,
363234075,59468914@N00,
207602612,54422252@N00,
12827393084,8340348@N07,
2695331592,88607481@N00,
6144465719,26183800@N07,
392239128,97303475@N00,
2651968449,52499764@N00,
5357121284,31338349@N02,
10888397393,62077007@N02,
5071644449,94621122@N00,
6123411913,53371251@N08,
5197438715,23947420@N04,
4210862626,21547810@N02,
8114533720,61290640@N08,
6854727088,44161305@N02,
7697109072,61033838@N04,
3539247346,94852245@N00,
11182785705,31687107@N07,
4821060456,34409164@N06,
233623990,62223880@N00,
6279163303,22326055@N06,
2679779492,15119648@N04,
305841810,70323761@N00,
3061607234,40645538@N00,
8369995246,41346951@N05,
3720383956,25182210@N07,
5835914334,60364452@N00,
4849320790,22719916@N03,
11817121464,47035764@N03,
10579354554,30931517@N03,
4240183637,40143737@N02,
11518327266,48399297@N04,
8280699806,80497449@N04,
92733663,51035555243@N01,
6209348934,27865228@N06,
2913356064,95572727@N00,
7171737929,22236166@N05,
216796075,44124425616@N01,
2328724141,63598939@N00,
2471891662,8070463@N03,
9697078626,55307203@N04,
12199945376,82955120@N05,
12330446374,38134034@N04,
876903790,21861018@N00,
2891788700,10393601@N08,
6106875697,23322134@N02,
77438376,34608250@N00,
10764213443,54563451@N08,
4776308608,95572727@N00,
8532376158,46944516@N00,
7296734938,53395767@N03,
10256798815,29069717@N02,
11091488005,82930663@N08,
7460434930,81413866@N05,
3278646443,28567825@N03,
4099294325,21065622@N08,
10419459254,46944516@N00,
333649018,88607481@N00,
2469143624,94852245@N00,
354515447,67662120@N00,
6119436022,45409431@N00,
4843830988,52575227@N08,
2369505427,46399740@N00,
1318876304,10488545@N05,
5313051590,58627294@N00,
5035933569,48399297@N04,
8770932424,41346951@N05,
5918193094,9019841@N08,
11373589736,91779914@N00,
268468181,44124425616@N01,
9841356574,93965477@N02,
2617800785,8991878@N08,
1430012379,96136056@N00,
4188787101,9844565@N04,
6679899447,40645329@N06,
3238219558,7202153@N03,
9965420034,103414654@N05,
7196170840,52499764@N00,
8615895288,40143737@N02,
8098219673,11248435@N04,
23858014,20792787@N00,
8599954273,51986662@N05,
3290743717,16230215@N08,
5991228867,53477219@N02,
76244881,51035555243@N01,
9403718744,56594044@N06,
5945548751,52499764@N00,
3812794097,40143737@N02,
2546550053,64707145@N00,
